Time,Setpoint,Current Value,Control Output
0.0,25.0,22.875,5.75
0.2163982391357422,25.0,23.934375,2.69375
0.45255279541015625,25.0,24.456796875,1.831718750000001
0.6589789390563965,25.0,24.706349609375,1.3904648437500018
0.8787596225738525,25.0,24.827674951171876,1.1839206054687506
1.083573579788208,25.0,24.888027025146485,1.0862391381835934
1.3175029754638672,25.0,24.91929083517456,1.0401330250854488
1.53578782081604,25.0,24.936559024025726,1.0183945447372438
1.7883434295654297,25.0,24.946988238894328,1.008170234542351
2.0086417198181152,25.0,24.95398148724662,1.0033841444834453
2.241647243499756,25.0,24.959165611388112,1.0011645457323075
2.4630990028381348,25.0,24.963326208580572,1.0001543166625426
2.667062520980835,25.0,24.966849725202252,0.9997122749594777
2.872986078262329,25.0,24.96993257260508,0.9995356398461115
3.1106743812561035,25.0,24.97268009966643,0.9994815686437162
3.3158116340637207,25.0,24.975153488516188,0.9994827976327985
3.53547739982605,25.0,24.97739202308557,0.9995077668420014
3.75581693649292,25.0,24.979423707116055,0.9995417726780803
3.990856170654297,25.0,24.98127036663592,0.9995780604629354
4.240701675415039,25.0,24.98295013772483,0.9996136155050113
4.459946870803833,25.0,24.98447871148493,0.9996471750651628
4.696918725967407,25.0,24.985869985347943,0.9996782900230131
4.899835109710693,25.0,24.98713642812318,0.999706882620059
5.103015184402466,25.0,24.988289304604308,0.9997330385868937
5.358032464981079,25.0,24.9893388291239,0.9997569099600394
5.608683824539185,25.0,24.990294281274576,0.9997786701261361
5.84503436088562,25.0,24.99116409988034,0.999798493466447
6.067577838897705,25.0,24.991955963167253,0.9998165465498943
6.300081014633179,25.0,24.992676859206625,0.9998329847121981
6.553657054901123,25.0,24.993333148843234,0.9998479511145407
6.774684429168701,25.0,24.993930622415785,0.9998615769137462
6.99426794052124,25.0,24.994474551125617,0.9998739819028197
7.215832948684692,25.0,24.994969733674836,0.9998852753235629
7.436779737472534,25.0,24.9954205386648,0.9998955567148907
7.654644012451172,25.0,24.995830943166524,0.99990491673641
7.905338287353516,25.0,24.996204567821096,0.9999134379424446
8.159022092819214,25.0,24.996544708788047,0.9999211954981214
8.396769762039185,25.0,24.996854366827616,0.9999282578367461
8.601366519927979,25.0,24.997136273775247,0.9999346872607845
8.838434219360352,25.0,24.997392916642834,0.9999405404902257
9.059579610824585,25.0,24.99762655955973,0.9999458691623576
9.28154444694519,25.0,24.99783926374727,0.9999507202870227
9.502150058746338,25.0,24.998032905703155,0.9999551366612238
