Time (s),Current Value,Setpoint,Control Output
0.0,20.32409017416664,25.0,5.5
0.23890376091003418,20.735724035875435,25.0,5.659705317125029
0.47309350967407227,21.19049212829781,25.0,5.678876236205797
0.709728479385376,21.88597378585935,25.0,5.607215642489321
0.976733922958374,22.51007333067503,25.0,5.235172284598805
1.211707592010498,23.104837372962326,25.0,4.8564963010783275
1.4500453472137451,23.64758408469975,25.0,4.44978174636838
1.716698169708252,23.859990134699146,25.0,4.039675759633486
1.9560575485229492,24.793297161792232,25.0,3.9247536630772757
2.208104133605957,24.97753811005936,25.0,3.0481619686596506
2.4425885677337646,25.025414917537663,25.0,2.828713905445289
2.660789966583252,24.821470110059284,25.0,2.771477399173778
2.879790782928467,25.159050773346657,25.0,2.980684114898395
3.1319735050201416,25.616013074368666,25.0,2.6542746478146437
3.369462251663208,25.924084583264012,25.0,2.141680121242499
3.6048927307128906,26.103473769317763,25.0,1.7337556144144195
3.8428585529327393,26.569370361421758,25.0,1.437584935286813
4.0804853439331055,26.584107906843176,25.0,0.8290766773431544
4.319449186325073,26.945006412364613,25.0,0.6333703889032896
4.554940223693848,26.99855163885748,25.0,0.09527929015039219
4.787870407104492,27.03537584661152,25.0,0.0
5.010068893432617,27.136729302629828,25.0,0.0
5.248713493347168,27.016568085460094,25.0,0.0
5.499240875244141,26.94626635167337,25.0,0.0
5.766178607940674,26.93655866737683,25.0,0.0
6.003314971923828,26.946108015215607,25.0,0.0
6.258917808532715,27.158631890753025,25.0,0.0
6.510910511016846,27.31383203459741,25.0,0.0
6.748521327972412,27.23789453439494,25.0,0.0
7.000908136367798,27.50012825449475,25.0,0.0
7.238507270812988,27.135392318773604,25.0,0.0
7.474222183227539,27.497936713092102,25.0,0.0
7.712792158126831,27.64893718942205,25.0,0.0
7.948739290237427,27.836523295679203,25.0,0.0
8.185620784759521,27.89854888483388,25.0,0.0
8.406022310256958,27.901879781752854,25.0,0.0
8.626696109771729,27.708282904275496,25.0,0.0
8.878297805786133,27.972119683512158,25.0,0.0
9.131840467453003,27.89253493811693,25.0,0.0
9.367155313491821,28.181733412577763,25.0,0.0
9.603280305862427,28.154288526355405,25.0,0.0
9.855161666870117,28.382003902755162,25.0,0.0
10.076306104660034,28.30714073711825,25.0,0.0
10.328693151473999,27.865305209268968,25.0,0.0
10.580925941467285,27.92614084830318,25.0,0.0
10.831805229187012,27.88088950698034,25.0,0.0
11.067488193511963,27.85875741452479,25.0,0.0
11.306164264678955,28.072701941474495,25.0,0.0
11.55757212638855,28.26110372922033,25.0,0.0
11.808871269226074,28.42252116527463,25.0,0.0
12.04683804512024,28.571250096160362,25.0,0.0
12.28247356414795,28.425416680168393,25.0,0.0
12.534480094909668,28.440014403563712,25.0,0.0
12.773647785186768,28.813581728691982,25.0,0.0
13.010238885879517,28.62588466405479,25.0,0.0
13.23240876197815,28.9637955576946,25.0,0.0
13.453192472457886,29.100477132223396,25.0,0.0
13.69172215461731,29.23285231415217,25.0,0.0
13.9157133102417,29.122683935544565,25.0,0.0
14.153690576553345,29.356969438847283,25.0,0.0
14.405083894729614,29.439634783125584,25.0,0.0
14.64073133468628,29.359869173697607,25.0,0.0
14.896349668502808,29.149331970185667,25.0,0.0
15.149818658828735,29.163624587824636,25.0,0.0
15.385255575180054,29.402118732813793,25.0,0.0
15.623261451721191,29.544692350129644,25.0,0.0
15.890912771224976,29.71713601455132,25.0,0.0
16.113083600997925,29.572326888214683,25.0,0.0
16.348377227783203,29.50782886224152,25.0,0.0
16.58635401725769,29.573466859866326,25.0,0.0
16.824471473693848,29.971534568299568,25.0,0.0
17.05935549736023,30.424349182717105,25.0,0.0
17.2979736328125,30.356709388218356,25.0,0.0
17.55152416229248,30.268581976965372,25.0,0.0
17.805192470550537,30.503451480632602,25.0,0.0
18.041817665100098,30.60983196218263,25.0,0.0
18.295092344284058,30.602053114289482,25.0,0.0
18.54982089996338,30.929596621143286,25.0,0.0
